%l%E     Ra  Rac Pr Pm icc lmax nr mc  Re  Rm  Ro  Rol Ekin %po %ta lm mmd  Nu  Emag %ex %po %pa %ta lm mmd B  Bsur  B12  Bdip Bax pow %jou tmag tvis trun tad Tm  T2 R2R1  Filename  
%%%                                            10^-3                                                                              10^7        10^-4           10^-4
 1.e-4 1.00e9 0.0 1 5.0  0  134 73 1 276 1382 27.6 114 38200 32 4.3 13 04  9.55 46500 01 39  2.5 4.7 27 08 6.82 1.43 .901 .428 .36 9.32 41. 12.5 7.27 .568 157 2816 000 .240  %e1r5q1000c   
 1.e-4 2.00e9 0.0 1 5.0  0  134 73 1 419 2095 41.9 173 87800 31 13. 13 04  11.7 47300 00 39  1.0 2.8 35 11 6.88 .906 .417 .051 .17 18.8 34. 7.88 7.35 .245 103 2816 000 2.72  %e1r5q2000t   
 1.e-4 3.50e7 0.0 1 10.  0   85 41 1 43.6 436  4.4  12   950 28 13.  9  4  2.63 20800 05 42  11. 15. 11  3 6.45 1.99 1.68 1.06 .59 .237 64. 145. 11.1 5.91 258 2816 000 .077  %e1r10q35b
 3.e-5 3.50e8 0.0 1 1.0  0   85 61 1 124  124  3.7  22  7720 23 7.8 19 09  3.38 18100 05 45  21. 11. 11 07 1.04 .204 .198 .184 .93 2.41 47. 17.0 6.03 1.57 195 1059 000 .0068 %e03r1q350c
 3.e-5 3.00e9 0.0 1 2.5  0  133 81 1 326  816  9.8  66 53300 30 8.3 21 09 10.04 96900 01 41  3.8 4.9 29 11 3.81 .678 .426 .269 .43 27.9 51. 6.87 3.94 .152  50 1059 000 .085  %e03r25q3000b  
 3.e-5 5.00e9 0.0 1 2.5  0  133 81 1 412 1030 12.4  83 84800 32 6.4 21 08 12.3 126000 01 41  3.0 3.9 31 11 4.35 .795 .471 .280 .40 46.8 50. 5.39 3.62 1.13 461 1059 000 .096  %e03r25q5000f
 3.e-5 5.00e9 0.0 1 2.5  0  134 73 1 418 1045 12.5  84 87400 32 4.9 21 09 12.3 109400 01 42  2.6 3.0 35 13 4.05 .712 .416 .237 .39 46.7 47. 5.21 3.74 1.22 506 1059 000 .096 %e03r25q5000_17
 3.e-5 5.00e9 0.0 1 2.5  0  134 73 1 418 1046 12.5  84 87490 32 5.2 21 09 12.3 107900 01 42  2.6 2.9 35 13 4.02 .704 .406 .232 .38 46.7 47. 5.21 3.74 1.67 698 1059 000 .096 %e03r25q5000_40
 3.e-5 7.00e9 0.0 1 2.5  0  134 73 1 487 1219 14.6 98 118800 33 4.0 21 08 13.9 132800 01 42  2.3 2.4 34 12 4.46 .801 .447 .248 .36 65.7 46. 4.58 3.61 1.10 536 1059 000 .096 %e03r25q7000_19
 3.e-5 5.00e9 0.0 1 4.0  0  134 73 1 397 1587 11.9  78 78700 32 6.5 20 08 12.1 147400 01 42  2.3 3.4 32 11 5.95 1.17 .628 .322 .32 46.7 47. 7.23 3.41 1.08 429 1059 000 .096  %e03r4q5000_21
 3.e-5 7.00e8 0.0 1 3.0  0  106 73 1 139  416  4.2  22  9600 29 7.4 17 07 5.18  93300 05 46  12. 7.6 15  6 4.10 1.10 .913 .695 .67 5.84 67. 25.3 5.18 .370  51 1059 000 .043  %e03r3q700a
 3.e-5 3.50e8 0.0 1 4.0  0  106 73 1 94.6 378  2.8  14  4470 27 10. 15 06 3.79  70100 05 46  13. 9.6 14  5 4.01 1.04 .903 .713 .72 2.65 69. 40.4 5.74 .578  55 1059 000 .021  %e03r4q350a
 3.e-5 5.00e9 0.0 1 5.0  0  168 97 1 397 1985 11.9  83 78810 33 7.0 22 08 12.3 149000 01 41  1.7 2.9 39 13 6.69 1.28 .617 .254 .26 47.0 48. 6.53 2.95 .129  51 1059 000 .164  %e03r5q5000a
 1.e-5 5.00e9 0.0 1 1.0  0 106  73 1 316  316  3.2  23 50000 23 13. 23 11 6.90 162000 04 41  9.8 12. 18  7 1.80 .265 .233 .197 .79 43.7 60. 6.51 3.02 .218  69 1059 000 .030  %e01r1q50a 
 1.e-5 1.0e10 0.0 1 1.0  0 134  97 1 441  441  4.4  31 97400 24 21. 22 12 10.0 253000 03 39  8.6 15. 20  8 2.25 .332 .268 .208 .67 92.1 60. 4.85 2.68 .130  57 1059 000 .068  %e01r1q100b
 1.e-5 3.00e8 0.0 1 2.0  1 106  73 1 67.0 134  0.7  03  2242 21 8.8 15 07 1.91  32900 02 36  13. 14. 10  6 1.15 .188 .183 .171 .91 1.26 72. 37.7 6.39 1.02  68 1059 000 .023  %e01r2q3e 
 1.e-5 8.00e8 0.0 1 2.0  0 106  73 1 112  223  1.1  06  6230 23 11. 18 10 2.87  80000 05 44  15. 11. 14 07 1.79 .339 .319 .291 .88 5.00 72. 23.4 4.68 .911 102 1059 000 .015  %e01r2q8c 
 1.e-5 4.00e9 0.0 1 3.0  0 106  73 1 205  715  2.1  14 21000 32 6.5 21 08 6.70 390000 01 46  9.9 6.5 19 07 4.84 1.18 .936 .755 .66 34.8 73. 15.6 2.75 .270  55 1059 000 .022  %e01r3q40d 
 1.e-5 6.00e9 0.0 1 3.0  0 106  73 1 247  741  2.5  17 30500 32 7.1 22 08 7.99 500000 04 47  9.8 6.7 20 07 5.48 1.48 1.13 .863 .61 53.5 73. 13.8 2.31 .308  76 1059 000 .041  %e01r3q60c 
 1.e-5 1.0e11 0.0 1 0.8 0 168 121 1 1142 914  11.4 98 652000 32 7.8 26 09 26.2 1050000 1 41  4.3 6.6 30 10 4.10 .758 .501 .313 .49 955. 63. 1.60 1.87 .060  68 1059 000 .118  %e01r08q1000d
 3.e-6 2.00e9 0.0 1 0.5  1 106  73 1 165  82  0.50 4.3 13600 18 12. 27 14 1.84  18200 05 49  29. 10. 11  7 .234 .055 .054 .049 .93 .806 38. 6.44 2.86 .337  56 1059 000 .080  %e003r05q20f
 3.e-6 1.60e9 0.0 1 1.0  1 106  73 1 132 132  0.40 2.5  8720 17 13. 20 11 1.88  44400 05 36  13. 17. 12  8 .516 .077 .076 .066 .90 .632 60. 11.9 3.64 .416  55 1059 000 .077  %e003r1q16f2 
 3.e-6 1.60e9 0.0 1 2.0  1 106  73 1  98 197  0.30 1.8  4850 21 9.8 19 10 2.27 160000 01 37  11. 14. 13  8 1.39 .204 .196 .176 .89 .810 82. 24.9 3.57 .514  51 1059 000 .019  %e003r2q16f4 
 3.e-6 1.60e9 0.0 1 5.0  1 106  73 1  69 344  0.21 1.0  2360 27 14. 15  6 2.76 480000 04 44  13. 12. 13  5 3.79 .904 .815 .695 .79 .995 90. 57.9 3.00 .735  50 1059 000 .020  %e003r5q16f6 
 3.e-6 2.80e9 0.0 1 5.0  1 106  73 1  86 432  0.26 1.3  3740 30 12. 16  6 3.54 918000 04 48  14. 10. 12  4 5.25 1.55 1.28 .973 .67 2.04 91. 55.1 2.38 .632  55 1059 000 .034  %e003r5q28f6 
